Nro_Control;Monto_Total;Forma_Pago_1;Fecha_Pago_1;Referencia_1;Banco_1;Forma_Pago_2;Fecha_Pago_2;Referencia_2;Banco_2
457;5254.74;TJD;18/06/2025;064720;BANCARIBE;;;;
458;7628.13;TJD;18/06/2025;559591;BANCARIBE;;;;
459;4476.26;TJD;19/06/2025;980369;BANCARIBE;;;;
460;10170.84;TJD;19/06/2025;312290;BANCARIBE;;;;
461;2627.37;TJD;19/06/2025;068273;BANCARIBE;;;;
462;2238.13;TJD;19/06/2025;682812;BANCARIBE;;;;
463;2530.06;TJD;19/06/2025;027538;BANCARIBE;;;;
465;2530.06;TJD;19/06/2025;820690;BANCARIBE;;;;
470;2542.71;TJD;19/06/2025;143700;BANCARIBE;;;;
471;5060.12;TJD;19/06/2025;163976;BANCARIBE;;;;
473;5254.74;TJD;19/06/2025;234273;BANCARIBE;;;;
474;10120.24;TJD;19/06/2025;253985;BANCARIBE;;;;
476;2530.06;TJD;19/06/2025;320185;BANCARIBE;;;;
484;2364.39;OTR;31/05/2025;000257656767;BANCARIBE;;;;
485;5051.05;OTR;12/06/2025;000269124347;BANCARIBE;;;;
486;5254.74;TJD;19/06/2025;222683;BANCARIBE;;;;
487;1200.0;TRA;13/06/2025;80088369;BANCARIBE;;;;
488;7882.11;OTR;13/06/2025;315007866;BANCARIBE;;;;
489;2691.9;OTR;11/06/2025;000268492193;BANCARIBE;;;;
490;5838.6;TRA;13/06/2025;50233917;BANCARIBE;;;;
491;2542.71;TRA;13/06/2025;50253585;BANCARIBE;;;;
492;10170.84;TJD;19/06/2025;375478;BANCARIBE;;;;
493;2542.78;TRA;13/06/2025;20417651964;BANCARIBE;;;;
494;5085.42;TJD;19/06/2025;963503;BANCARIBE;;;;
495;2542.71;TJD;19/06/2025;080641;BANCARIBE;;;;
496;6409.81;TJD;19/06/2025;542780;BANCARIBE;;;;
497;2052.27;TJD;19/06/2025;570683;BANCARIBE;;;;
499;2627.37;TJD;19/06/2025;091934;BANCARIBE;;;;
501;10120.24;TJD;19/06/2025;155791;BANCARIBE;;;;
502;5254.74;TJD;19/06/2025;224071;BANCARIBE;;;;
503;5254.74;TJD;19/06/2025;056866;BANCARIBE;;;;
504;5085.42;TJD;19/06/2025;018636;BANCARIBE;;;;
505;1500.0;TRA;11/06/2025;11192438;BANCARIBE;;;;
507;2729.16;TRA;13/06/2025;20417765364;BANCARIBE;;;;
508;5254.74;TJD;19/06/2025;225286;BANCARIBE;;;;
509;5254.74;TJD;19/06/2025;072727;BANCARIBE;;;;
510;4928.75;TJD;19/06/2025;150712;BANCARIBE;;;;
511;2542.71;TJD;19/06/2025;340782;BANCARIBE;;;;
512;2530.06;TJD;19/06/2025;004152;BANCARIBE;;;;
513;2530.06;TJD;19/06/2025;004152;BANCARIBE;;;;
514;5838.6;TJD;19/06/2025;161448;BANCARIBE;;;;
515;25427.1;TJD;19/06/2025;431019;BANCARIBE;;;;
516;5085.42;TJD;19/06/2025;888767;BANCARIBE;;;;
517;5085.42;TJD;19/06/2025;504319;BANCARIBE;;;;
518;5254.74;TJD;19/06/2025;020079;BANCARIBE;;;;
519;2542.71;TJD;19/06/2025;550778;BANCARIBE;;;;
520;2542.71;TJD;19/06/2025;981790;BANCARIBE;;;;
524;10170.84;TRA;10/06/2025;20417107354;BANCARIBE;;;;
525;1950.0;TRA;05/05/2025;77246207;BANCARIBE;;;;
526;5170.08;OTR;18/06/2025;051690719110;BANCARIBE;;;;
527;5085.42;OTR;15/06/2025;051664764604;BANCARIBE;;;;
